"Value Set Name","Value Set Clinical Focus","OID","Profile Element","Page","Notes or examples"
"Acute Renal Failure Diagnosis","This set of values contains diagnosis terms representing acute renal failure.","2.16.840.1.113762.1.4.1222.1534","Condition.code","mcc_chronic_condition_value_sets.html","Chronic Kidney Disease (CKD)Conditions"
"Complication due to Diabetes Mellitus Diagnosis","This set of values contains diagnosis terms representing complication due to diabetes mellitus.","2.16.840.1.113762.1.4.1222.1537","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Coronary Revascularization History","This set of values contains diagnosis terms representing the presence of coronary stent or history of coronary revascularization procedure.","2.16.840.1.113762.1.4.1222.1540","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Heart Failure Diagnois","This set of values contains diagnosis terms representing heart failure.","2.16.840.1.113762.1.4.1222.1543","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Cerebrovascular Disease Diagnosis","This set of values contains diagnosis terms representing cerebrovascular disease.","2.16.840.1.113762.1.4.1222.1549","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Migraine Diagnosis","This set of values contains diagnosis terms representing migraine.","2.16.840.1.113762.1.4.1222.1552","Condition.code","mcc_chronic_condition_value_sets.html","Pain Conditions"
"Chronic Tension Type Headache Diagnosis","This set of values contains diagnosis terms representing chronic tension-type headache.","2.16.840.1.113762.1.4.1222.1555","Condition.code","mcc_chronic_condition_value_sets.html","Pain Conditions"
"Low Back Pain","This set of values contains terms representing low back pain.","2.16.840.1.113762.1.4.1222.1558","Condition.code","mcc_chronic_condition_value_sets.html","Pain Conditions"
"Metabolic Syndrome Diagnosis","This set of values contains diagnosis terms representing metabolic syndrome.","2.16.840.1.113762.1.4.1222.1561","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Hypertension, Persistent","This set of values contains concepts representing persistent hypertension.","2.16.840.1.113762.1.4.1222.1563","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Pregnancy","The purpose of this value set is to represent concepts for the pregnant state.","2.16.840.1.113762.1.4.1222.1566","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
"Chronic Kidney Disease All Stages (1 through 5)","This set of values contains diagnosis terms representing All Stages (1 or 2 or 3 or 4 or 5) of chronic kidney disease.","2.16.840.1.113762.1.4.1222.159","Condition.code","mcc_chronic_condition_value_sets.html","Chronic Kidney Disease (CKD)Conditions"
"Alcohol Use Disorder","This set of values contains condition or diagnosis terms representing alcohol use disorders.","2.16.840.1.113762.1.4.1222.24","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Peripheral Vascular Disease","This set of values contains condition or diagnosis terms representing peripheral vascular disease conditions.","2.16.840.1.113762.1.4.1222.27","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Hepatitis C Conditions","This value set contains diagnosis terms that represent acute or chronic hepatitis C infection.","2.16.840.1.113762.1.4.1222.30","Condition.code","mcc_chronic_condition_value_sets.html","Infectious Disease Conditions"
"Diabetic Neuropathy Conditions","This set of values contains diagnosis terms representing neuropathy caused by diabetes.","2.16.840.1.113762.1.4.1222.33","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Obesity Conditions","This set of values contains diagnosis terms representing obesity.","2.16.840.1.113762.1.4.1222.36","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Prediabetes (borderline diabetes)","This set of values addresses terms representing Prediabetes (Borderline Diabetes).","2.16.840.1.113762.1.4.1222.419","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Maturity Onset Diabetes of the Young (MODY)","This set of values addresses terms representing Maturity Onset Diabetes of the Young (MODY).","2.16.840.1.113762.1.4.1222.420","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Tuberculosis Disorders","This set of values contains diagnoses or problems that represent that the patient has tuberculosis regardless of the clinical presentation of the condition","2.16.840.1.113762.1.4.1222.43","Condition.code","mcc_chronic_condition_value_sets.html","Infectious Disease Conditions"
"Hypoalbuminemia Conditions","This set of values contains diagnosis terms representing hypoalbuminemia conditions.","2.16.840.1.113762.1.4.1222.47","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Diabetic Coma","This set of values addresses terms representing Diabetic Coma.","2.16.840.1.113762.1.4.1222.482","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Diabetic Peripheral Angiopathy","This set of values addresses terms representing Diabetic Peripheral Angiopathy.","2.16.840.1.113762.1.4.1222.492","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Cataract of the eye","This set of values addresses terms representing Cataract of the Eye.","2.16.840.1.113762.1.4.1222.498","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Hyperkalemia Conditions","This set of values contains diagnosis terms representing hyperkalemia conditions","2.16.840.1.113762.1.4.1222.50","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Rubeosis Iridis","This set of values addresses terms representing Rubeosis Iridis.","2.16.840.1.113762.1.4.1222.501","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Emotional Distress caused by Chronic Condition","This set of values addresses terms representing Emotional Distress caused by Chronic Condition.","2.16.840.1.113762.1.4.1222.508","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Hypoglycemic event","This set of values addresses terms representing Hypoglycemic Event.","2.16.840.1.113762.1.4.1222.513","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Hypoglycemia unawareness","This set of values addresses terms representing Hypoglycemia Unawareness.","2.16.840.1.113762.1.4.1222.514","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Hyperglycemic Hyperosmolar Nonketotic Syndrome HHNS","This set of values addresses terms representing Hyperglycemic Hyperosmolar Nonketotic Syndrome HHNS.","2.16.840.1.113762.1.4.1222.517","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Ketoacidosis","This set of values addresses terms representing Ketoacidosis.","2.16.840.1.113762.1.4.1222.520","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Diabetic Foot","This set of values addresses terms representing Diabetic Foot.","2.16.840.1.113762.1.4.1222.523","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Diabetic Foot Ulcer","This set of values addresses terms representing Diabetic Foot Ulcer.","2.16.840.1.113762.1.4.1222.526","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Anemia Conditions","This set of values contains diagnosis terms representing anemia conditions.","2.16.840.1.113762.1.4.1222.53","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Charcot Foot","This set of values addresses terms representing Charcot Foot.","2.16.840.1.113762.1.4.1222.531","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Cellulitis","This set of values addresses terms representing Cellulitis.","2.16.840.1.113762.1.4.1222.533","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Diabetic Hand or Diabetic Cheiroarthropathy","This set of values addresses terms representing Diabetic Hand or Diabetic Cheiroarthropathy.","2.16.840.1.113762.1.4.1222.535","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Necrobiosis Lipoidica (Skin Lesions)","This set of values addresses terms representing Necrobiosis Lipoidica (Skin Lesions).","2.16.840.1.113762.1.4.1222.540","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Gangrene","This set of values addresses terms representing Gangrene.","2.16.840.1.113762.1.4.1222.543","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Dupuytren's Contracture","This set of values addresses terms representing Dupuytren's Contracture.","2.16.840.1.113762.1.4.1222.546","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Scleroderma or Thick Skin Syndrome","This set of values addresses terms representing Scleroderma or Thick Skin Syndrome.","2.16.840.1.113762.1.4.1222.549","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Acanthosis Nigricans","This set of values addresses terms representing Acanthosis Nigricans.","2.16.840.1.113762.1.4.1222.556","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Eruptive Xanthomatosis","This set of values addresses terms representing Eruptive Xanthomatosis.","2.16.840.1.113762.1.4.1222.557","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Periodontitis","This set of values addresses terms representing Periodontitis.","2.16.840.1.113762.1.4.1222.560","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Amputated Limb (Not Traumatic)","This set of values addresses terms representing Amputated Limb (Not Traumatic).","2.16.840.1.113762.1.4.1222.563","Condition.code","mcc_chronic_condition_value_sets.html","Diabetes Conditions"
"Hypertension, Essential or Primary","This set of values addresses terms representing Essential or Primary Hypertension.","2.16.840.1.113762.1.4.1222.566","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Hypertension, Secondary","This set of values addresses terms representing Secondary Hypertension.","2.16.840.1.113762.1.4.1222.569","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Hypertension Stage","This set of values addresses terms representing Hypertension Stage.","2.16.840.1.113762.1.4.1222.571","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Cardiomyopathy","This set of values addresses terms representing Cardiomyopathy.","2.16.840.1.113762.1.4.1222.579","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"NYHA Heart Failure Functional Classifications","This set of values addresses terms representing NYHA Heart Failure Functional Classifications.","2.16.840.1.113762.1.4.1222.580","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"American Heart Association Heart Failure Stage","This set of values addresses terms representing the American Heart Association Heart Failure Stage.","2.16.840.1.113762.1.4.1222.581","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Atherosclerotic Cardiovascular Disease","This set of values addresses terms representing Atherosclerotic Cardiovascular Disease.","2.16.840.1.113762.1.4.1222.584","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Gout","This set of values addresses terms representing Gout.","2.16.840.1.113762.1.4.1222.586","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Psoriatic Arthritis","This set of values addresses terms representing Psoriatic Arthritis.","2.16.840.1.113762.1.4.1222.587","Condition.code","mcc_chronic_condition_value_sets.html","Arthritis Conditions"
"Reactive Arthritis","This set of values addresses terms representing Reactive Arthritis.","2.16.840.1.113762.1.4.1222.588","Condition.code","mcc_chronic_condition_value_sets.html","Arthritis Conditions"
"Experience of Traumatic Events","This set of values addresses terms representing Experience of Traumatic Events.","2.16.840.1.113762.1.4.1222.590","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Cannabis Use","This set of values addresses terms representing Cannabis Use.","2.16.840.1.113762.1.4.1222.591","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Hearing Impairment","This set of values addresses terms representing Hearing Impairment.","2.16.840.1.113762.1.4.1222.592","Condition.code","mcc_chronic_condition_value_sets.html","Functional Health Conditions"
"Functional Status","This set of values addresses terms representing Functional Status.","2.16.840.1.113762.1.4.1222.593","Condition.code","mcc_chronic_condition_value_sets.html","Functional Health Conditions"
"Chronic Kidney Disease Type or Cause","This set of values contains condition or diagnosis terms representing causes of, or types of, chronic kidney disease.","2.16.840.1.113762.1.4.1222.6","Condition.code","mcc_chronic_condition_value_sets.html","Chronic Kidney Disease (CKD)Conditions"
"Hypercalcemia Conditions","This set of values contains diagnosis terms representing hypercalcemia conditions.","2.16.840.1.113762.1.4.1222.60","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Angina","This set of values addresses terms representing Angina.","2.16.840.1.113762.1.4.1222.608","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Hypocalcemia Conditions","This set of values contains diagnosis terms representing hypocalcemia conditions.","2.16.840.1.113762.1.4.1222.61","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Unstable Angina","This set of values addresses terms representing Unstable Angina.","2.16.840.1.113762.1.4.1222.611","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Ischemic Heart Disease","This set of values addresses terms representing Ischemic Heart Disease.","2.16.840.1.113762.1.4.1222.614","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Stroke","This set of values addresses terms representing stroke and history of stroke related concepts.","2.16.840.1.113762.1.4.1222.618","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Transient Ischemic Attack","This set of values addresses terms representing Transient Ischemic Attack.","2.16.840.1.113762.1.4.1222.621","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Aneurysm","This set of values addresses terms representing Aneurysm.","2.16.840.1.113762.1.4.1222.627","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Aortic Disease","This set of values addresses terms representing Aortic Disease.","2.16.840.1.113762.1.4.1222.636","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Carotid Stenosis","This set of values addresses terms representing Carotid Stenosis.","2.16.840.1.113762.1.4.1222.639","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Intracranial Stenosis","This set of values addresses terms representing Intracranial Stenosis.","2.16.840.1.113762.1.4.1222.642","Condition.code","mcc_chronic_condition_value_sets.html","Cardiovascular Conditions"
"Pulmonary Edema","This set of values addresses terms representing Pulmonary Edema.","2.16.840.1.113762.1.4.1222.645","Condition.code","mcc_chronic_condition_value_sets.html","Respiratory Conditions"
"Osteoarthritis (Oa)","This set of values addresses terms representing Osteoarthritis (Oa).","2.16.840.1.113762.1.4.1222.648","Condition.code","mcc_chronic_condition_value_sets.html","Arthritis Conditions"
"Rheumatoid Arthritis (Ra)","This set of values addresses terms representing Rheumatoid Arthritis (Ra).","2.16.840.1.113762.1.4.1222.651","Condition.code","mcc_chronic_condition_value_sets.html","Arthritis Conditions"
"Infectious Arthritis","This set of values addresses terms representing Infectious Arthritis.","2.16.840.1.113762.1.4.1222.654","Condition.code","mcc_chronic_condition_value_sets.html","Arthritis Conditions"
"Hyperphosphatemia Conditions","This set of values contains diagnosis terms representing hyperphosphatemia conditions.","2.16.840.1.113762.1.4.1222.66","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Irritable Bowel Syndrome","This set of values addresses terms representing Irritable Bowel Syndrome.","2.16.840.1.113762.1.4.1222.660","Condition.code","mcc_chronic_condition_value_sets.html","Digestive System/Gastrointestinal Conditions"
"Neuropathic Pain (Neuralgia)","This set of values addresses terms representing Neuropathic Pain (Neuralgia).","2.16.840.1.113762.1.4.1222.663","Condition.code","mcc_chronic_condition_value_sets.html","Pain Conditions"
"Neuromas","This set of values addresses terms representing Neuromas.","2.16.840.1.113762.1.4.1222.666","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Phantom Pain","This set of values addresses terms representing Phantom Pain.","2.16.840.1.113762.1.4.1222.669","Condition.code","mcc_chronic_condition_value_sets.html","Pain Conditions"
"Hematuria Conditions","This set of values contains diagnosis terms representing hematuria conditions.","2.16.840.1.113762.1.4.1222.67","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Entrapment Neuropathy","This set of values addresses terms representing Entrapment Neuropathy.","2.16.840.1.113762.1.4.1222.672","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Myalgic Encephalomyelitis or Chronic Fatigue ","This set of values addresses terms representing Myalgic Encephalomyelitis or Chronic Fatigue Syndrome.","2.16.840.1.113762.1.4.1222.675","Condition.code","mcc_chronic_condition_value_sets.html","Cognitive and Neurological Conditions"
"Psychotic Depression","This set of values addresses terms representing Psychotic Depression.","2.16.840.1.113762.1.4.1222.678","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Post Partum Depression","This set of values addresses terms representing Post Partum Depression.","2.16.840.1.113762.1.4.1222.681","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Seasonal Affective Disorder","This set of values addresses terms representing Seasonal Affective Disorder.","2.16.840.1.113762.1.4.1222.684","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Psychological Trauma","This set of values addresses terms representing Psychological Trauma.","2.16.840.1.113762.1.4.1222.687","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Grief or Loss","This set of values addresses terms representing Grief or Loss.","2.16.840.1.113762.1.4.1222.690","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Suicide Risk","This set of values addresses terms representing Suicide Risk.","2.16.840.1.113762.1.4.1222.693","Condition.code","mcc_chronic_condition_value_sets.html","Mental Health Conditions"
"Vaping","This set of values addresses terms representing Vaping use.","2.16.840.1.113762.1.4.1222.696","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Tobacco Use or Exposure","This set of values addresses terms representing Tobacco Use or Exposure.","2.16.840.1.113762.1.4.1222.699","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Metabolic Acidosis Conditions","This set of values contains diagnosis terms representing Metabolic acidosis conditions.","2.16.840.1.113762.1.4.1222.70","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Binge Drinking","This set of values addresses terms representing Binge Drinking.","2.16.840.1.113762.1.4.1222.702","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Drug Misuse","This set of values addresses terms representing Drug Misuse.","2.16.840.1.113762.1.4.1222.707","Condition.code","mcc_chronic_condition_value_sets.html","Substance Use / Misuse Conditions"
"Sensory Status","This set of values addresses terms representing Sensory Status.","2.16.840.1.113762.1.4.1222.709","Condition.code","mcc_chronic_condition_value_sets.html","Functional Health Conditions"
"Fall Risk","This set of values addresses terms representing Fall Risk.","2.16.840.1.113762.1.4.1222.712","Condition.code","mcc_chronic_condition_value_sets.html","Functional Health Conditions"
"Lower Urinary Tract Symptoms (LUTS) From Benign Prostatic Hyperplasia","This set of values addresses terms representing Lower Urinary Tract Symptoms (LUTS) From Benign Prostatic Hyperplasia.","2.16.840.1.113762.1.4.1222.715","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Urinary Incontinence","This set of values addresses terms representing Urinary Incontinence.","2.16.840.1.113762.1.4.1222.718","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Urinary Urgency","This set of values addresses terms representing Urinary Urgency.","2.16.840.1.113762.1.4.1222.721","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Urinary Frequency","This set of values addresses terms representing Urinary Frequency.","2.16.840.1.113762.1.4.1222.724","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Nocturia","This set of values addresses terms representing Nocturia.","2.16.840.1.113762.1.4.1222.727","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Hyperlipidemia Conditions","This set of values contains diagnosis terms representing hyperlipidemia conditions.","2.16.840.1.113762.1.4.1222.73","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Pelvic Organ Prolapse","This set of values addresses terms representing Pelvic Organ Prolapse.","2.16.840.1.113762.1.4.1222.730","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Erectile Dysfunction","This set of values addresses terms representing Erectile Dysfunction.","2.16.840.1.113762.1.4.1222.733","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Interstitial Cystitis or Bladder Pain Syndrome","This set of values addresses terms representing Interstitial Cystitis or Bladder Pain Syndrome.","2.16.840.1.113762.1.4.1222.736","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Recurrent Urinary Tract Infections","This set of values addresses terms representing Recurrent Urinary Tract Infections.","2.16.840.1.113762.1.4.1222.739","Condition.code","mcc_chronic_condition_value_sets.html","Genitourinary Conditions"
"Hypertriglyceridemia","This set of values addresses terms representing Hypertriglyceridemia.","2.16.840.1.113762.1.4.1222.742","Condition.code","mcc_chronic_condition_value_sets.html","Nutrition / Metabolic Conditions"
"Hypothyroidism","This set of values addresses terms representing Hypothyroidism.","2.16.840.1.113762.1.4.1222.745","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Menopause","This set of values addresses terms representing Menopause.","2.16.840.1.113762.1.4.1222.748","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Testicular Hypofunction","This set of values addresses terms representing Testicular Hypofunction.","2.16.840.1.113762.1.4.1222.751","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Primary aldosteronism","This set of values addresses terms representing Primary Aldosteronism.","2.16.840.1.113762.1.4.1222.754","Condition.code","mcc_chronic_condition_value_sets.html","Hormonal Conditions"
"Restless leg syndrome","This set of values addresses terms representing Restless Leg Syndrome.","2.16.840.1.113762.1.4.1222.757","Condition.code","mcc_chronic_condition_value_sets.html","Dissimilar Conditions"
